testSeq,testFORM,AccNum
9,2013_3,PTE04
11,2015_1,PTE04
24,2012_2,PTE1012
31,2014_3,PTE1012
34,2013_2,PTE1028
30,2015_2,PTE1028
81,2013_2,PTE103
78,2015_2,PTE103
28,2013_1,PTE1030
30,2015_3,PTE1030
32,2012_1,PTE1036
26,2014_1,PTE1036
31,2012_3,PTE1038
31,2015_3,PTE1038
27,2012_2,PTE1045
29,2014_1,PTE1045
29,2012_2,PTE1049
30,2014_2,PTE1049
35,2013_2,PTE1051
32,2015_3,PTE1051
31,2012_2,PTE1054
30,2014_1,PTE1054
32,2012_3,PTE1055
32,2014_2,PTE1055
76,2013_1,PTE106
80,2015_3,PTE106
77,2013_1,PTE107
79,2015_2,PTE107
77,2013_3,PTE108
80,2015_2,PTE108
37,2013_3,PTE1098
27,2015_1,PTE1098
85,2012_2,PTE110
82,2015_1,PTE110
37,2012_1,PTE1102
35,2014_3,PTE1102
34,2012_3,PTE1108
36,2014_2,PTE1108
35,2012_3,PTE1109
197,2015_3,PTE1109
38,2013_3,PTE1114
198,2015_3,PTE1114
79,2013_3,PTE112
82,2015_3,PTE112
36,2012_2,PTE1136
199,2015_3,PTE1136
36,2012_3,PTE1169
39,2014_3,PTE1169
198,2012_2,PTE117
221,2015_1,PTE117
204,2012_3,PTE118
206,2015_2,PTE118
206,2012_1,PTE119
224,2015_3,PTE119
39,2012_3,PTE1205
31,2015_1,PTE1205
38,2012_2,PTE1210
40,2015_3,PTE1210
40,2012_3,PTE1219
41,2014_3,PTE1219
38,2013_1,PTE1229
39,2015_2,PTE1229
42,2012_1,PTE1230
41,2014_2,PTE1230
42,2012_2,PTE1252
41,2014_1,PTE1252
44,2012_2,PTE1270
38,2015_1,PTE1270
45,2012_2,PTE1277
40,2015_1,PTE1277
43,2012_3,PTE1282
43,2014_1,PTE1282
43,2013_2,PTE1287
43,2015_2,PTE1287
47,2012_1,PTE1291
45,2014_1,PTE1291
46,2012_3,PTE1295
43,2015_3,PTE1295
46,2013_2,PTE1313
44,2015_1,PTE1313
44,2013_1,PTE1322
46,2015_2,PTE1322
176,2012_1,PTE1348
177,2013_3,PTE1348
176,2012_2,PTE1353
178,2013_3,PTE1353
202,2015_3,PTE1353
179,2013_3,PTE1354
203,2015_3,PTE1354
47,2012_3,PTE1355
204,2015_3,PTE1355
47,2013_2,PTE1358
46,2015_1,PTE1358
176,2012_3,PTE1359
180,2013_3,PTE1359
101,2013_3,PTE136
102,2015_2,PTE136
177,2012_1,PTE1361
177,2013_1,PTE1361
48,2012_2,PTE1368
48,2014_3,PTE1368
50,2012_3,PTE1369
47,2015_1,PTE1369
213,2012_1,PTE137
229,2015_3,PTE137
50,2012_2,PTE1375
48,2015_1,PTE1375
97,2012_2,PTE138
103,2015_2,PTE138
48,2012_1,PTE1384
51,2014_2,PTE1384
50,2013_3,PTE1387
49,2015_2,PTE1387
104,2013_1,PTE139
93,2015_1,PTE139
51,2012_2,PTE1392
50,2014_3,PTE1392
49,2012_1,PTE1395
51,2014_3,PTE1395
51,2012_3,PTE1397
52,2014_2,PTE1397
47,2013_1,PTE1398
48,2015_3,PTE1398
102,2012_1,PTE140
102,2014_3,PTE140
52,2012_3,PTE1400
50,2014_1,PTE1400
53,2012_3,PTE1403
54,2014_2,PTE1403
49,2013_1,PTE1408
51,2015_2,PTE1408
53,2012_2,PTE1409
50,2015_1,PTE1409
54,2012_2,PTE1410
51,2014_1,PTE1410
55,2012_2,PTE1411
52,2014_1,PTE1411
50,2012_1,PTE1414
